"Image ID","set 3 mRNA molecules","lin 41 mRNA molecules","set 3 mRNA clusters","lin 41 mRNA clusters","Image_ID","subdirectory","Cell_Stage","Strain"
6,913,8062,0,21,"quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
8,1067,8374,0,1,"quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
11,875,5200,0,14,"quantification_230514_DG3913_lin-41_spn-4_rep2_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
2,859,1558,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
3,1502,3688,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
5,1142,3383,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
6,559,674,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
9,805,597,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
10,1449,1706,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
12,1212,716,0,0,"quantification_230606_DG3913_lin-41_set-3_rep4_2-cell.csv","2-cell_DG3913","2-cell","DG3913"
2,1224,1960,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
3,1249,1262,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
4,428,2071,0,2,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
5,1233,3519,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
8,1148,2015,0,1,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
9,1728,3344,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
10,1946,3684,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
11,1827,4996,0,4,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
12,1997,1954,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
13,2374,2720,0,2,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
14,1981,2962,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
15,1983,4151,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
17,866,2459,0,4,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
18,2105,4607,0,0,"quantification_230726_DG3913_lin-41_set-3_rep5-2-cell.csv","2-cell_DG3913","2-cell","DG3913"
1,1414,6351,64,33,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
2,531,7281,0,12,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
5,1062,949,0,0,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
7,1926,2792,57,0,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
9,1081,2050,6,0,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
10,1315,3511,0,0,"quantification_230517_DG5329_lin-41_set-3_rep1_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
1,686,2289,0,0,"quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
2,1506,2286,0,0,"quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
3,1497,4180,0,0,"quantification_230607_DG5329_lin-41_set-3_rep3_2-cell.csv","2-cell_DG5329","2-cell","DG5329"
