Position (μm),erm-1 mRNA Density
-188.98219299316406,737610928.0
-186.42837957433753,754483755.0
-183.874566155511,769819205.0
-181.32075273668443,780092583.0
-178.7669393178579,797778367.0
-176.21312589903135,801660577.0
-173.65931248020482,817880634.0
-171.10549906137828,836197911.0
-168.55168564255172,847323249.0
-165.99787222372518,866086514.0
-163.44405880489865,883175346.0
-160.8902453860721,897145488.0
-158.33643196724557,916638901.0
-155.782618548419,928555871.0
-153.2288051295925,948636119.0
-150.67499171076594,967022015.0
-148.1211782919394,979505149.0
-145.56736487311287,1000314344.0
-143.0135514542863,1013091342.0
-140.4597380354598,1032454207.0
-137.90592461663323,1054268092.0
-135.3521111978067,1067755584.0
-132.79829777898016,1090123148.0
-130.24448436015362,1110697984.0
-127.69067094132707,1124836409.0
-125.13685752250052,1148374824.0
-122.58304410367398,1163114913.0
-120.02923068484745,1175609871.0
-117.47541726602091,1199855903.0
-114.92160384719436,1215075588.0
-112.36779042836783,1240029557.0
-109.81397700954128,1262885017.0
-107.26016359071474,1278592341.0
-104.7063501718882,1307817538.0
-102.15253675306165,1323601045.0
-99.59872333423512,1349172779.0
-97.04490991540857,1371961063.0
-94.49109649658203,1386872597.0
-91.9372830777555,1411078860.0
-89.38346965892895,1424510857.0
-86.82965624010241,1444454160.0
-84.27584282127587,1466622987.0
-81.72202940244932,1477950178.0
-79.16821598362279,1498740654.0
-76.61440256479625,1515613984.0
-74.0605891459697,1524316538.0
-71.50677572714316,1542539351.0
-68.95296230831661,1549677295.0
-66.39914888949008,1566535860.0
-63.84533547066354,1570235798.0
-61.29152205183699,1575071474.0
-58.73770863301044,1589745645.0
-56.183895214183906,1592926143.0
-53.63008179535737,1602121886.0
-51.076268376530834,1614704099.0
-48.5224549577043,1622656659.0
-45.96864153887776,1634099754.0
-43.4148281200512,1640320751.0
-40.86101470122466,1639054501.0
-38.307201282398125,1648280187.0
-35.75338786357159,1645780617.0
-33.19957444474505,1653839301.0
-30.64576102591849,1656501009.0
-28.091947607091953,1652257394.0
-25.538134188265417,1658693453.0
-22.98432076943888,1653467034.0
-20.430507350612345,1653822432.0
-17.87669393178578,1658838097.0
-15.322880512959244,1652055475.0
-12.769067094132708,1656004312.0
-10.215253675306172,1654004272.0
-7.6614402564796364,1639066294.0
-5.107626837653072,1641804620.0
-2.553813418826536,1633014597.0
0.0,1629450176.0
2.553813418826536,1631114725.0
5.107626837653072,1621332039.0
7.661440256479608,1630797324.0
10.215253675306172,1625776200.0
12.769067094132708,1615057583.0
15.322880512959244,1615120158.0
17.87669393178578,1603740089.0
20.430507350612316,1603176649.0
22.98432076943888,1596286670.0
25.538134188265417,1584123828.0
28.091947607091953,1582609298.0
30.64576102591849,1569929380.0
33.199574444745025,1561674324.0
35.75338786357156,1559011400.0
38.307201282398125,1545273472.0
40.86101470122466,1541761370.0
43.4148281200512,1531628601.0
45.96864153887773,1516718398.0
48.52245495770427,1506673000.0
51.076268376530834,1491073014.0
53.63008179535737,1485291986.0
56.183895214183906,1472692598.0
58.73770863301044,1455669482.0
61.29152205183698,1448227346.0
63.84533547066354,1439272814.0
66.39914888949008,1424360305.0
68.95296230831661,1415185097.0
71.50677572714318,1395667547.0
74.06058914596969,1385306281.0
76.61440256479625,1367876983.0
79.16821598362276,1346956619.0
81.72202940244932,1334934815.0
84.27584282127589,1313045695.0
86.8296562401024,1300002553.0
89.38346965892896,1280025788.0
91.93728307775547,1257033796.0
94.49109649658203,1243018809.0
97.04490991540854,1222100047.0
99.5987233342351,1198380458.0
102.15253675306167,1183440258.0
104.70635017188818,1156089391.0
107.26016359071474,1140681861.0
109.81397700954125,1118320117.0
112.36779042836781,1093471297.0
114.92160384719438,1077401861.0
117.47541726602088,1062183133.0
120.02923068484745,1039340605.0
122.58304410367396,1023148535.0
125.13685752250052,998334407.0
127.69067094132708,982411542.0
130.2444843601536,960498304.0
132.79829777898016,937271224.0
135.35211119780666,922943535.0
137.90592461663323,901276443.0
140.4597380354598,888013275.0
143.0135514542863,869714690.0
145.56736487311287,850143545.0
148.12117829193937,838406267.0
150.67499171076594,820002910.0
153.2288051295925,804076509.0
155.782618548419,793494116.0
158.33643196724557,776375667.0
160.89024538607208,764003111.0
163.44405880489865,749411087.0
165.9978722237252,733276918.0
168.55168564255172,723890980.0
171.10549906137828,708335330.0
173.6593124802048,705629852.0
176.21312589903135,692320985.0
178.76693931785792,677483618.0
181.32075273668443,669079417.0
183.874566155511,654792132.0
186.4283795743375,642608621.0
188.98219299316406,634856969.0
