Position (μm),set-3 mRNA Density
-188.98219299316406,892536001.0
-186.42837957433753,910566115.0
-183.874566155511,926313613.0
-181.32075273668443,936212968.0
-178.7669393178579,954827139.0
-176.21312589903135,957375066.0
-173.65931248020482,973851782.0
-171.10549906137828,993033684.0
-168.55168564255172,1003515158.0
-165.99787222372518,1023016354.0
-163.44405880489865,1040146677.0
-160.8902453860721,1054131787.0
-158.33643196724557,1074048476.0
-155.782618548419,1084976305.0
-153.2288051295925,1105231886.0
-150.67499171076594,1122966333.0
-148.1211782919394,1134128505.0
-145.56736487311287,1154728105.0
-143.0135514542863,1165951805.0
-140.4597380354598,1184015718.0
-137.90592461663323,1204959174.0
-135.3521111978067,1216345996.0
-132.79829777898016,1237539001.0
-130.24448436015362,1256032867.0
-127.69067094132707,1267476222.0
-125.13685752250052,1288851088.0
-122.58304410367398,1300203703.0
-120.02923068484745,1309690677.0
-117.47541726602091,1330905686.0
-114.92160384719436,1341905642.0
-112.36779042836783,1362972970.0
-109.81397700954128,1380921943.0
-107.26016359071474,1391354420.0
-104.7063501718882,1416521133.0
-102.15253675306165,1426595004.0
-99.59872333423512,1446946215.0
-97.04490991540857,1463861431.0
-94.49109649658203,1473066889.0
-91.9372830777555,1492665848.0
-89.38346965892895,1501069783.0
-86.82965624010241,1516486541.0
-84.27584282127587,1535051322.0
-81.72202940244932,1542221559.0
-79.16821598362279,1560030931.0
-76.61440256479625,1573795188.0
-74.0605891459697,1579583581.0
-71.50677572714316,1596217577.0
-68.95296230831661,1601098584.0
-66.39914888949008,1616992573.0
-63.84533547066354,1619054756.0
-61.29152205183699,1622290069.0
-58.73770863301044,1636748729.0
-56.183895214183906,1638912954.0
-53.63008179535737,1647858185.0
-51.076268376530834,1660940907.0
-48.5224549577043,1669143109.0
-45.96864153887776,1681576713.0
-43.4148281200512,1688482462.0
-40.86101470122466,1687424604.0
-38.307201282398125,1698596213.0
-35.75338786357159,1696546421.0
-33.19957444474505,1706911891.0
-30.64576102591849,1711241957.0
-28.091947607091953,1707904891.0
-25.538134188265417,1717244274.0
-22.98432076943888,1713162629.0
-20.430507350612345,1715774151.0
-17.87669393178578,1724081054.0
-15.322880512959244,1718949960.0
-12.769067094132708,1726749719.0
-10.215253675306172,1728153249.0
-7.6614402564796364,1713410159.0
-5.107626837653072,1720534546.0
-2.553813418826536,1714247343.0
0.0,1714448786.0
2.553813418826536,1720660878.0
5.107626837653072,1713363243.0
7.661440256479608,1728345416.0
10.215253675306172,1727244593.0
12.769067094132708,1719218117.0
15.322880512959244,1724210746.0
17.87669393178578,1715784471.0
20.430507350612316,1720309606.0
22.98432076943888,1717811366.0
25.538134188265417,1708606693.0
28.091947607091953,1712031443.0
30.64576102591849,1702143644.0
33.199574444745025,1697965349.0
35.75338786357156,1699970982.0
38.307201282398125,1688964856.0
40.86101470122466,1689908170.0
43.4148281200512,1683619021.0
45.96864153887773,1671388635.0
48.52245495770427,1663623137.0
51.076268376530834,1650569306.0
53.63008179535737,1648750236.0
56.183895214183906,1639577476.0
58.73770863301044,1625093015.0
61.29152205183698,1621564029.0
63.84533547066354,1615654658.0
66.39914888949008,1604212166.0
68.95296230831661,1598870016.0
71.50677572714318,1581988019.0
74.06058914596969,1575487322.0
76.61440256479625,1561560434.0
79.16821598362276,1543222885.0
81.72202940244932,1534992253.0
84.27584282127589,1515764893.0
86.8296562401024,1506609918.0
89.38346965892896,1490183260.0
91.93728307775547,1469995305.0
94.49109649658203,1459833304.0
97.04490991540854,1442584995.0
99.5987233342351,1421820313.0
102.15253675306167,1410901102.0
104.70635017188818,1385705822.0
107.26016359071474,1374428430.0
109.81397700954125,1356269685.0
112.36779042836781,1335028707.0
114.92160384719438,1323480456.0
117.47541726602088,1311304548.0
120.02923068484745,1292795978.0
122.58304410367396,1280964761.0
125.13685752250052,1259537817.0
127.69067094132708,1247630597.0
130.2444843601536,1228990515.0
132.79829777898016,1207550657.0
135.35211119780666,1195610460.0
137.90592461663323,1174311453.0
140.4597380354598,1162408003.0
143.0135514542863,1143976276.0
145.56736487311287,1123049933.0
148.12117829193937,1111347703.0
150.67499171076594,1090717381.0
153.2288051295925,1072863834.0
155.782618548419,1061385255.0
158.33643196724557,1041104932.0
160.89024538607208,1026662217.0
163.44405880489865,1009308245.0
165.9978722237252,989612958.0
168.55168564255172,978725831.0
171.10549906137828,959458954.0
173.6593124802048,956742407.0
176.21312589903135,940279656.0
178.76693931785792,921520596.0
181.32075273668443,911189468.0
183.874566155511,892816694.0
186.4283795743375,877161196.0
188.98219299316406,867341847.0
